State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,Median AQI
Alabama,Baldwin,2021,280,264,16,0,0,0,0,61,35
Alabama,Clay,2021,110,101,9,0,0,0,0,67,27
Alabama,DeKalb,2021,361,331,30,0,0,0,0,84,36
Alabama,Elmore,2021,241,238,3,0,0,0,0,87,32
Alabama,Etowah,2021,286,253,33,0,0,0,0,77,36
Alabama,Jefferson,2021,365,174,186,3,2,0,0,179,51
Alabama,Lawrence,2021,100,98,2,0,0,0,0,55,21
Alabama,Madison,2021,357,269,86,2,0,0,0,105,41
Alabama,Mobile,2021,361,270,91,0,0,0,0,81,44
Alabama,Montgomery,2021,354,294,60,0,0,0,0,93,37
Alabama,Morgan,2021,365,293,72,0,0,0,0,96,39
Alabama,Russell,2021,364,285,76,3,0,0,0,142,38
Alabama,Shelby,2021,243,231,12,0,0,0,0,77,35
Alabama,Sumter,2021,355,338,17,0,0,0,0,68,29
Alabama,Tuscaloosa,2021,281,265,16,0,0,0,0,90,31
Alaska,Aleutians East ,2021,118,118,0,0,0,0,0,38,10
Alaska,Anchorage ,2021,365,313,50,2,0,0,0,132,22
Alaska,Denali ,2021,363,360,3,0,0,0,0,74,33
Alaska,Fairbanks North Star ,2021,365,254,77,21,13,0,0,179,35
Alaska,Juneau ,2021,357,331,26,0,0,0,0,88,15
Alaska,Kenai Peninsula ,2021,121,121,0,0,0,0,0,30,7
Alaska,Matanuska-Susitna ,2021,354,323,28,2,1,0,0,160,12
Alaska,North Slope ,2021,114,114,0,0,0,0,0,42,4
Arizona,Apache,2021,359,355,4,0,0,0,0,88,14
Arizona,Cochise,2021,365,259,104,2,0,0,0,105,45
Arizona,Coconino,2021,365,268,97,0,0,0,0,93,45
Arizona,Gila,2021,365,240,115,8,2,0,0,180,45
Arizona,La Paz,2021,362,257,104,0,1,0,0,187,45
Arizona,Maricopa,2021,365,15,125,91,61,73,0,272,122
Arizona,Mohave,2021,363,360,2,0,1,0,0,156,19
Arizona,Navajo,2021,365,293,71,1,0,0,0,101,44
Arizona,Pima,2021,365,143,208,13,0,0,1,315,53
Arizona,Pinal,2021,365,80,234,49,2,0,0,182,69
Arizona,Santa Cruz,2021,360,216,142,1,1,0,0,166,43
Arizona,Yavapai,2021,331,302,29,0,0,0,0,64,44
Arizona,Yuma,2021,365,231,128,5,1,0,0,170,46
Arkansas,Arkansas,2021,120,106,14,0,0,0,0,73,30
Arkansas,Ashley,2021,120,104,16,0,0,0,0,61,31
Arkansas,Clark,2021,338,328,10,0,0,0,0,90,32
Arkansas,Crittenden,2021,365,294,67,4,0,0,0,122,40
Arkansas,Garland,2021,120,96,24,0,0,0,0,77,34
Arkansas,Jackson,2021,120,101,19,0,0,0,0,84,29
Arkansas,Newton,2021,365,347,18,0,0,0,0,74,36
Arkansas,Polk,2021,360,319,41,0,0,0,0,92,38
Arkansas,Pulaski,2021,365,213,150,2,0,0,0,112,47
Arkansas,Union,2021,116,92,24,0,0,0,0,71,36
Arkansas,Washington,2021,365,269,95,1,0,0,0,119,41
California,Alameda,2021,365,223,132,9,1,0,0,151,45
California,Amador,2021,365,307,54,4,0,0,0,133,37
California,Butte,2021,365,198,136,18,11,2,0,233,48
California,Calaveras,2021,364,264,91,6,3,0,0,171,44
California,Colusa,2021,365,209,140,9,7,0,0,199,46
California,Contra Costa,2021,365,255,105,5,0,0,0,150,42
California,Del Norte,2021,323,303,20,0,0,0,0,69,23
California,El Dorado,2021,365,248,95,16,4,1,1,385,43
California,Fresno,2021,365,102,181,63,18,1,0,278,67
California,Glenn,2021,365,282,68,9,6,0,0,181,39
California,Humboldt,2021,365,353,12,0,0,0,0,60,28
California,Imperial,2021,365,113,223,22,4,1,2,442,58
California,Inyo,2021,365,131,191,25,13,2,3,552,58
California,Kern,2021,365,65,172,97,29,1,1,316,84
California,Kings,2021,365,113,201,40,10,0,1,666,61
California,Lake,2021,356,350,5,0,1,0,0,156,33
California,Los Angeles,2021,365,39,229,70,26,1,0,281,77
California,Madera,2021,365,157,173,28,7,0,0,194,56
California,Marin,2021,365,313,52,0,0,0,0,87,34
California,Mariposa,2021,365,212,121,25,7,0,0,161,47
California,Mendocino,2021,365,273,84,6,2,0,0,176,38
California,Merced,2021,365,184,148,31,2,0,0,162,50
California,Mono,2021,364,279,59,12,11,0,3,2723,21
California,Monterey,2021,365,321,44,0,0,0,0,80,37
California,Napa,2021,140,127,13,0,0,0,0,77,38
California,Nevada,2021,365,221,91,34,15,4,0,288,45
California,Orange,2021,365,201,146,18,0,0,0,148,49
California,Placer,2021,365,165,152,30,11,5,2,448,54
California,Plumas,2021,365,123,158,37,26,14,7,436,63
California,Riverside,2021,365,42,187,89,44,2,1,332,87
California,Sacramento,2021,365,189,140,30,5,0,1,316,50
California,San Benito,2021,365,320,45,0,0,0,0,100,40
California,San Bernardino,2021,365,42,177,73,61,11,1,487,87
California,San Diego,2021,365,98,251,16,0,0,0,133,64
California,San Francisco,2021,365,310,55,0,0,0,0,84,36
California,San Joaquin,2021,365,178,171,15,1,0,0,153,51
California,San Luis Obispo,2021,365,209,148,8,0,0,0,133,48
California,San Mateo,2021,365,329,36,0,0,0,0,89,33
California,Santa Barbara,2021,365,300,64,1,0,0,0,101,41
California,Santa Clara,2021,365,228,130,7,0,0,0,147,44
California,Santa Cruz,2021,365,339,26,0,0,0,0,77,34
California,Shasta,2021,365,234,99,15,15,2,0,216,45
California,Siskiyou,2021,364,270,63,7,24,0,0,192,40
California,Solano,2021,365,267,95,3,0,0,0,126,40
California,Sonoma,2021,365,321,44,0,0,0,0,88,33
California,Stanislaus,2021,365,136,182,42,5,0,0,172,58
California,Sutter,2021,364,165,177,17,5,0,0,169,54
California,Tehama,2021,365,235,94,21,15,0,0,182,44
California,Trinity,2021,328,233,49,4,23,7,12,622,29
California,Tulare,2021,365,78,153,93,39,1,1,537,80
California,Tuolumne,2021,360,295,63,2,0,0,0,136,41
California,Ventura,2021,365,208,147,10,0,0,0,122,48
California,Yolo,2021,365,273,86,4,2,0,0,157,39
Colorado,Adams,2021,365,206,136,22,1,0,0,151,48
Colorado,Alamosa,2021,120,117,2,1,0,0,0,109,9
Colorado,Arapahoe,2021,365,222,106,34,3,0,0,161,46
Colorado,Archuleta,2021,365,269,96,0,0,0,0,93,45
Colorado,Boulder,2021,365,204,126,32,3,0,0,159,48
Colorado,Clear Creek,2021,357,219,128,10,0,0,0,133,48
Colorado,Delta,2021,365,301,62,2,0,0,0,141,42
Colorado,Denver,2021,365,161,169,31,4,0,0,166,52
Colorado,Douglas,2021,358,215,101,34,8,0,0,177,47
Colorado,El Paso,2021,365,236,101,28,0,0,0,140,47
Colorado,Fremont,2021,86,85,1,0,0,0,0,62,15
Colorado,Garfield,2021,365,230,130,4,1,0,0,156,47
Colorado,Gilpin,2021,363,250,94,18,1,0,0,151,46
Colorado,Gunnison,2021,363,271,92,0,0,0,0,93,45
Colorado,Jackson,2021,116,110,6,0,0,0,0,89,5
Colorado,Jefferson,2021,365,222,88,44,11,0,0,172,47
Colorado,La Plata,2021,364,249,111,4,0,0,0,140,47
Colorado,Larimer,2021,365,197,133,32,3,0,0,156,50
Colorado,Mesa,2021,365,278,85,2,0,0,0,139,44
Colorado,Montezuma,2021,365,281,82,2,0,0,0,115,44
Colorado,Pitkin,2021,122,117,5,0,0,0,0,88,12
Colorado,Prowers,2021,361,345,14,1,0,0,1,576,19
Colorado,Pueblo,2021,220,208,11,1,0,0,0,138,21
Colorado,Rio Blanco,2021,365,251,109,4,1,0,0,155,45
Colorado,Routt,2021,354,347,7,0,0,0,0,68,15
Colorado,San Juan,2021,119,117,2,0,0,0,0,76,7
Colorado,San Miguel,2021,117,115,2,0,0,0,0,52,14
Colorado,Weld,2021,365,199,132,33,1,0,0,154,49
Connecticut,Fairfield,2021,363,277,67,13,6,0,0,185,42
Connecticut,Hartford,2021,365,296,66,3,0,0,0,136,37
Connecticut,Litchfield,2021,364,320,41,3,0,0,0,142,37
Connecticut,Middlesex,2021,207,171,25,10,1,0,0,151,39
Connecticut,New Haven,2021,365,281,70,12,2,0,0,159,40
Connecticut,New London,2021,363,311,45,7,0,0,0,129,36
Connecticut,Tolland,2021,201,170,30,1,0,0,0,101,39
Connecticut,Windham,2021,361,331,29,1,0,0,0,140,34
Country Of Mexico,BAJA CALIFORNIA NORTE,2021,365,48,251,41,25,0,0,178,65
Country Of Mexico,SONORA,2021,105,100,5,0,0,0,0,61,34
Delaware,Kent,2021,360,308,50,2,0,0,0,108,38
Delaware,New Castle,2021,365,262,99,4,0,0,0,144,43
Delaware,Sussex,2021,365,321,44,0,0,0,0,100,38
District Of Columbia,District of Columbia,2021,365,252,105,7,1,0,0,153,44
Florida,Alachua,2021,364,350,14,0,0,0,0,84,34
Florida,Baker,2021,365,330,35,0,0,0,0,87,35
Florida,Bay,2021,365,324,41,0,0,0,0,76,39
Florida,Brevard,2021,365,320,45,0,0,0,0,82,40
