state,county,year,days_with_aqi,good_days,moderate_days,unhealthy_for_sensitive_groups_days,unhealthy_days,very_unhealthy_days,hazardous_days,max_aqi,median_aqi,lat,lng,population,stfips,countyfips
Michigan,Mason,2023,119,91,27,1,0,0,0,143,42,43.9952,-86.25,29178,26,26105
California,Los Angeles,2017,365,38,208,73,38,8,0,224,77,34.3219,-118.2247,9936690,06,06037
Illinois,Cook,2017,365,184,162,18,1,0,0,177,50,41.8401,-87.8168,5225367,17,17031
Texas,Harris,2017,365,207,138,18,2,0,0,177,48,29.8578,-95.3938,4726177,48,48201
Arizona,Maricopa,2017,365,51,259,50,5,0,0,167,71,33.349,-112.4915,4430871,04,04013
California,San Diego,2017,365,83,220,56,6,0,0,174,65,33.0343,-116.735,3289701,06,06073
New York,Queens,2020,366,298,65,3,0,0,0,140,38,40.7035,-73.8196,2360826,36,36081
Oregon,Columbia,2019,363,355,8,0,0,0,0,84,24,45.9438,-123.0883,52865,41,41009
California,Orange,2017,365,147,186,30,2,0,0,151,54,33.7031,-117.7609,3175227,06,06059
Florida,Miami-Dade,2017,354,284,66,4,0,0,0,136,42,25.615,-80.5624,2688237,12,12086
New York,Kings,2017,344,310,34,0,0,0,0,72,28,40.6413,-73.9383,2679620,36,36047
Texas,Dallas,2017,365,239,119,7,0,0,0,140,44,32.7666,-96.7778,2604053,48,48113
California,Riverside,2017,365,52,162,100,43,6,2,366,87,33.7436,-115.9938,2429487,06,06065
New York,Queens,2017,365,288,71,5,1,0,0,151,39,40.7035,-73.8196,2360826,36,36081
Nevada,Clark,2017,365,136,200,28,1,0,0,154,58,36.2152,-115.0135,2265926,32,32003
Washington,King,2017,365,265,82,10,7,1,0,202,41,47.4902,-121.8052,2254371,53,53033
California,San Bernardino,2017,365,31,187,73,51,23,0,233,84,34.8414,-116.1785,2180563,06,06071
Texas,Tarrant,2017,365,252,100,13,0,0,0,143,44,32.7719,-97.2911,2113854,48,48439
Texas,Bexar,2017,363,265,92,4,2,0,0,188,43,29.4489,-98.52,2014059,48,48029
Florida,Broward,2017,357,275,77,5,0,0,0,143,43,26.1523,-80.4871,1940907,12,12011
California,Santa Clara,2017,365,240,113,9,3,0,0,182,44,37.2318,-121.6951,1916831,06,06085
Michigan,Wayne,2017,365,176,178,11,0,0,0,147,52,42.2822,-83.283,1781641,26,26163
California,Alameda,2017,365,189,162,9,4,1,0,205,49,37.6469,-121.8887,1663823,06,06001
New York,New York,2017,365,261,102,2,0,0,0,122,41,40.7792,-73.9668,1645867,36,36061
Massachusetts,Middlesex,2017,356,341,14,1,0,0,0,105,33,42.4856,-71.3918,1623109,25,25017
Pennsylvania,Philadelphia,2017,365,190,163,10,2,0,0,166,50,40.0077,-75.1339,1593208,42,42101
