"state","county","year","median_aqi","lat","lng","population"
"Ohio","Harrison",2018,3,"40.2938","-81.0911",14528
"Idaho","Custer",2018,5,"44.2411","-114.2817",4344
"Colorado","Jackson",2018,7,"40.6664","-106.3428",1440
"Colorado","San Juan",2018,8,"37.764","-107.6762",690
"Montana","Lake",2018,8,"47.6459","-114.0894",31509
"Ohio","Harrison",2019,2,"40.2938","-81.0911",14528
"Idaho","Custer",2019,6,"44.2411","-114.2817",4344
"Colorado","Jackson",2019,6,"40.6664","-106.3428",1440
"Colorado","San Juan",2019,7,"37.764","-107.6762",690
"Montana","Lake",2019,8,"47.6459","-114.0894",31509
"Ohio","Harrison",2020,1,"40.2938","-81.0911",14528
"Montana","Powell",2020,3,"46.8564","-112.9361",6998
"Montana","Lake",2020,5,"47.6459","-114.0894",31509
"Colorado","Jackson",2020,5,"40.6664","-106.3428",1440
"Idaho","Custer",2020,5,"44.2411","-114.2817",4344
"Virginia","Pittsylvania",2021,3,"36.8213","-79.3971",60541
"Ohio","Harrison",2021,5,"40.2938","-81.0911",14528
"Colorado","Jackson",2021,5,"40.6664","-106.3428",1440
"Idaho","Custer",2021,6,"44.2411","-114.2817",4344
"Texas","Karnes",2021,6,"28.9057","-97.8594",14805
"Virginia","Pittsylvania",2022,3,"36.8213","-79.3971",60541
"Minnesota","Cook",2022,3,"47.9026","-90.5354",5611
"South Dakota","Hughes",2022,5,"44.389","-99.996",17812
"Idaho","Custer",2022,5,"44.2411","-114.2817",4344
"Texas","Karnes",2022,6,"28.9057","-97.8594",14805
"Wyoming","Uinta",2023,6,"41.2876","-110.5476",20546
"Minnesota","Cook",2023,6,"47.9026","-90.5354",5611
"Wyoming","Carbon",2023,6,"41.6944","-106.9306",14609
"Texas","Karnes",2023,6,"28.9057","-97.8594",14805
"Texas","Wilson",2023,6,"29.174","-98.0866",50381
