county,state_name,lat,lng,population
Los Angeles,California,34.3219,-118.2247,9936690
Cook,Illinois,41.8401,-87.8168,5225367
Harris,Texas,29.8578,-95.3938,4726177
Maricopa,Arizona,33.349,-112.4915,4430871
San Diego,California,33.0343,-116.735,3289701
Orange,California,33.7031,-117.7609,3175227
Miami-Dade,Florida,25.615,-80.5624,2688237
Kings,New York,40.6413,-73.9383,2679620
Dallas,Texas,32.7666,-96.7778,2604053
Riverside,California,33.7436,-115.9938,2429487
Queens,New York,40.7035,-73.8196,2360826
Clark,Nevada,36.2152,-115.0135,2265926
King,Washington,47.4902,-121.8052,2254371
San Bernardino,California,34.8414,-116.1785,2180563
Tarrant,Texas,32.7719,-97.2911,2113854
Bexar,Texas,29.4489,-98.52,2014059
Broward,Florida,26.1523,-80.4871,1940907
Santa Clara,California,37.2318,-121.6951,1916831
Wayne,Michigan,42.2822,-83.283,1781641
Alameda,California,37.6469,-121.8887,1663823
New York,New York,40.7792,-73.9668,1645867
Middlesex,Massachusetts,42.4856,-71.3918,1623109
Philadelphia,Pennsylvania,40.0077,-75.1339,1593208
Sacramento,California,38.4493,-121.3443,1579211
Suffolk,New York,40.8681,-72.8456,1524486
Palm Beach,Florida,26.6476,-80.4655,1494805
Hillsborough,Florida,27.9292,-82.3088,1468560
Bronx,New York,40.8501,-73.8672,1443229
Orange,Florida,28.5144,-81.3235,1427403
Nassau,New York,40.7326,-73.5862,1389160
Franklin,Ohio,39.9695,-83.0093,1318149
Travis,Texas,30.3344,-97.782,1289054
Oakland,Michigan,42.6604,-83.3858,1272264
Hennepin,Minnesota,45.0046,-93.477,1270787
Cuyahoga,Ohio,41.4243,-81.6586,1256620
Allegheny,Pennsylvania,40.4688,-79.9813,1245310
Salt Lake,Utah,40.6673,-111.9236,1180643
Contra Costa,California,37.9192,-121.9275,1162648
Fairfax,Virginia,38.8368,-77.277,1145354
Wake,North Carolina,35.7903,-78.6503,1132103
Mecklenburg,North Carolina,35.2467,-80.8328,1115403
Collin,Texas,33.188,-96.5724,1079153
Fulton,Georgia,33.7902,-84.467,1061944
Montgomery,Maryland,39.1363,-77.2042,1056910
Pima,Arizona,32.0974,-111.7899,1042393
Honolulu,Hawaii,21.4899,-158.0739,1010100
Fresno,California,36.7582,-119.6493,1008280
St. Louis,Missouri,38.6407,-90.4434,999703
Westchester,New York,41.1626,-73.7561,997904
Duval,Florida,30.3313,-81.6715,995708
